Country,Region,Moody's rating,Rating-based Default Spread,Total Equity Risk Premium,Country Risk Premium,expected_gdp_growth_rate_pct,expected_gdp_growth_window_years,expected_gdp_growth_start_year,expected_gdp_growth_end_year,GDP_0,GDP_1,Cost of Equity,PV_of GDP
Czech Republic,Eastern Europe & Russia,Aa3,0.004772403,0.04941868,0.00741868,0.07844700168498653,9.0,2016.0,2025.0,391026962800.475,421701855610.159,0.1777843616849865,4245148608843.2295
Denmark,Western Europe,Aaa,0.0,0.042,0.0,0.044647820305447006,9.0,2016.0,2025.0,462526660468.393,483177467691.4643,0.12914782030544703,5718076540727.387
Dominican Republic,Caribbean,Ba2,0.023955593,0.079238862,0.037238862,0.059780608066067664,9.0,2016.0,2025.0,127407463759.043,135023959414.71407,0.21875833206606765,849326283062.8654
Ecuador,Central and South America,Caa1,0.05970183,0.134806228,0.092806228,0.032562035677937695,9.0,2016.0,2025.0,130320560400.0,134564063137.31363,0.3026744916779377,498177926075.7735
El Salvador,Central and South America,B3,0.051747824,0.122441762,0.080441762,0.04742340937152134,9.0,2016.0,2025.0,36708110000.0,38448933727.784836,0.2928069333715213,156689141556.97284
Estonia,Eastern Europe & Russia,A1,0.005614592,0.050727858,0.008727858,0.07485148350880055,9.0,2016.0,2025.0,47030833798.5866,50551161479.06664,0.17680719950880056,495814883778.2341
Ethiopia,Africa,Caa3,0.079633632,0.165790125,0.123790125,0.07044186758181992,9.0,2016.0,2025.0,126358758448.356,135259705378.77826,0.40252211758181994,407310297371.72943
Fiji,Asia,B1,0.035839813,0.097712829,0.055712829,0.025753416104172144,9.0,2016.0,2025.0,6198013062.06553,6357633071.471997,0.22167907410417215,32449211279.270004
Finland,Western Europe,Aa1,0.002186354,0.045398677,0.003398677,0.032000511805112763,9.0,2016.0,2025.0,317039368819.607,327184790884.20435,0.12329786580511277,3583726981662.6265
France,Western Europe,Aa3,0.004772403,0.04941868,0.00741868,0.03497963876669874,9.0,2016.0,2025.0,3366315927447.33,3484068442564.022,0.13431699876669873,35073092767555.152
Gabon,Africa,Caa2,0.071679627,0.153425659,0.111425659,0.04822625058107066,9.0,2016.0,2025.0,21427119323.2764,22460468948.99123,0.35557756858107065,73077509786.34564
Georgia,Eastern Europe & Russia,Ba2,0.023955593,0.079238862,0.037238862,0.10567477012131787,9.0,2016.0,2025.0,38143612855.1367,42174430375.19982,0.26465249412131786,265285156398.3884
Germany,Western Europe,Aaa,0.0,0.042,0.0,0.04038898935521429,9.0,2016.0,2025.0,5050922925047.05,5254924597300.783,0.1248889893552143,62188456772790.33
Ghana,Africa,Caa1,0.05970183,0.134806228,0.092806228,0.08209791241349262,9.0,2016.0,2025.0,114209905278.717,123586300079.04239,0.3522103684134926,457536471694.7462
Greece,Western Europe,Baa3,0.017498812,0.069201825,0.027201825,0.042415188774630685,9.0,2016.0,2025.0,280635521324.441,292538729938.28406,0.18131883877463068,2106055024027.6917
Guatemala,Central and South America,Ba1,0.019931802,0.072983897,0.030983897,0.0718178884426488,9.0,2016.0,2025.0,123306008821.471,132161586007.31967,0.21828568244264882,902325230673.7115
Honduras,Central and South America,B1,0.035839813,0.097712829,0.055712829,0.069027175858692,9.0,2016.0,2025.0,39601409103.3005,42334982533.72603,0.264952833858692,216076765880.8936
Hungary,Eastern Europe & Russia,Baa2,0.015159399,0.065565218,0.023565218,0.07461203988828258,9.0,2016.0,2025.0,246490213513.054,264881351155.76126,0.20624247588828257,2012310824190.8525
Iceland,Western Europe,A1,0.005614592,0.050727858,0.008727858,0.06944978752270536,9.0,2016.0,2025.0,38582528789.0033,41262077215.48824,0.17140550352270537,404705874612.1526
India,Asia,Baa3,0.017498812,0.069201825,0.027201825,0.06238011499781648,9.0,2016.0,2025.0,3956067115771.63,4202847037392.5444,0.20128376499781647,30257282925197.03
Indonesia,Asia,Baa2,0.015159399,0.065565218,0.023565218,0.049999591284085154,9.0,2016.0,2025.0,1445642584163.81,1517924122514.8691,0.18163002728408514,11531710815839.502
Iraq,Middle East,Caa1,0.05970183,0.134806228,0.092806228,0.048043078008201956,9.0,2016.0,2025.0,254367293538.462,266587881264.66553,0.31815553400820196,986951454266.3872
Ireland,Western Europe,Aa3,0.004772403,0.04941868,0.00741868,0.10025609559439719,9.0,2016.0,2025.0,721701359046.313,794056319489.4666,0.19959345559439717,7993531532239.901
Isle of Man,Western Europe,Aa3,0.004772403,0.04941868,0.00741868,-0.0019220611185115644,9.0,2014.0,2023.0,7576129932.79381,7561568148.021195,0.09741529888148844,76120083602.19353
Israel,Middle East,Baa1,0.012726409,0.061783146,0.019783146,0.07406213889821855,9.0,2016.0,2025.0,610777842873.595,656013356308.4535,0.19812843089821855,5287603471766.961
Italy,Western Europe,Baa2,0.015159399,0.065565218,0.023565218,0.03408543150669252,9.0,2016.0,2025.0,2551556954100.35,2638527873894.7627,0.1657158675066925,20044967973020.79
Jamaica,Caribbean,Ba3,0.02863442,0.086512078,0.044512078,0.047922514762854806,9.0,2016.0,2025.0,22704903217.5631,23792979277.195957,0.2214466707628548,137116236872.49606
Japan,Asia,A1,0.005614592,0.050727858,0.008727858,-0.015621692373045004,9.0,2016.0,2025.0,4435162999976.94,4365878247966.9893,0.086334023626955,42821319090800.06
Jordan,Middle East,Ba3,0.02863442,0.086512078,0.044512078,0.0389320929619843,9.0,2016.0,2025.0,61610052535.2113,64008660827.904884,0.21245624896198428,368874641452.8297
Kazakhstan,Eastern Europe & Russia,Baa1,0.012726409,0.061783146,0.019783146,0.0932453752134943,9.0,2016.0,2025.0,306239209650.024,334794599658.92444,0.2173116672134943,2698513788571.391
Kenya,Africa,B3,0.051747824,0.122441762,0.080441762,0.06860691838809929,9.0,2016.0,2025.0,135941278878.815,145267791104.4277,0.31399044238809926,592003035641.5768
Kuwait,Middle East,A1,0.005614592,0.050727858,0.008727858,0.04110043822273157,9.0,2016.0,2025.0,157209026926.418,163670386825.663,0.14305615422273157,1605308591287.4468
Latvia,Eastern Europe & Russia,A3,0.009544807,0.056837359,0.014837359,0.06702231798777936,9.0,2016.0,2025.0,48618869160.3254,51877418469.394966,0.18119703598777936,454368702442.47034
Lebanon,Middle East,C,0.175,0.314036717,0.272036717,-0.07004827826133897,9.0,2015.0,2024.0,25971643441.3408,24152374534.657482,0.558525155738661,38424109623.85261
Liechtenstein,Western Europe,Aaa,0.0,0.042,0.0,0.03978887728067004,9.0,2015.0,2024.0,8905764270.4054,9260114632.051136,0.12428887728067005,109587155408.88918
