atomic_number,symbol,element_name,ci_atomic_abundance,ci_atomic_sigma,mean_atomic_weight,ci_mass_fraction,ci_mass_percent,ci_mass_ppm,price_usd_per_kg,price_date,price_source,price_quality,log_mass_abundance,log_price,predicted_log_price,regression_residual
34,Se,Selenium,67.6,5.0,78.97168087941174,2.0405250602404563e-05,0.0020405250602404564,20.405250602404564,,,,excluded,-4.6902580671699,,,
35,Br,Bromine,12.3,2.9,79.90360788899,3.7566034749488767e-06,0.0003756603474948877,3.756603474948877,,,,excluded,-5.425204644098177,,,
36,Kr,Krypton,0.000163,,83.79283539281597,5.220575077731873e-11,5.220575077731873e-09,5.220575077731873e-05,,,,excluded,-10.282281654214364,,,
37,Rb,Rubidium,7.04,0.46,84.9117897428,2.2848858546775095e-06,0.00022848858546775097,2.2848858546775097,,,,excluded,-5.641135490964772,,,
38,Sr,Strontium,23.4,1.3,87.61750433131866,7.836652532692572e-06,0.0007836652532692573,7.836652532692573,,,,excluded,-5.105869408875773,,,
39,Y,Yttrium,4.35,0.24,88.9058483,1.4782348683026929e-06,0.0001478234868302693,1.478234868302693,,,,excluded,-5.830256557886967,,,
40,Zr,Zirconium,10.9,1.0,91.08863593311797,3.7950242157101193e-06,0.0003795024215710119,3.7950242157101193,,,,excluded,-5.420785448565411,,,
41,Nb,Niobium,0.78,0.07,92.9063781,2.769899343733496e-07,2.769899343733496e-05,0.27698993437334957,,,,excluded,-6.557536012616194,,,
42,Mo,Molybdenum,2.6,0.26,95.5301291085587,9.493745113306805e-07,9.493745113306805e-05,0.9493745113306805,,,,excluded,-6.022562432336462,,,
43,Tc,,,,,,,,,,,excluded,,,,
44,Ru,Ruthenium,1.81,0.02,101.0650880897617,6.992034922095848e-07,6.992034922095849e-05,0.6992034922095849,,,,excluded,-6.155396411261004,,,
45,Rh,Rhodium,0.338,0.015,102.90550430000002,1.329471894371031e-07,1.3294718943710309e-05,0.1329471894371031,,,,excluded,-6.876320839414469,,,
46,Pd,Palladium,1.38,0.07,106.41532916551,5.613156283094835e-07,5.6131562830948346e-05,0.5613156283094834,,,,excluded,-6.2507928658614205,,,
47,Ag,Silver,0.497,0.022,107.8681467305264,2.0491486344066525e-07,2.0491486344066525e-05,0.20491486344066526,2008.65003439318,2026-09-23,Yahoo Finance,benchmark,-6.688426539030979,3.3029042765334564,3.4219125705816715,-0.11900829404821511
48,Cd,Cadmium,1.58,0.06,112.01081808747291,6.764581150833658e-07,6.764581150833658e-05,0.6764581150833658,,,,excluded,-6.1697590888687435,,,
49,In,Indium,0.179,0.008,112.9040574,7.724785614181595e-08,7.724785614181594e-06,0.07724785614181595,,,,excluded,-7.112113564701822,,,
50,Sn,Tin,3.59,0.22,118.710350043529,1.6289467561972017e-06,0.00016289467561972018,1.6289467561972018,53.753079365079365,2026-09-23,Investing.com daily snapshot,benchmark,-5.788093110822033,1.7304033488286554,2.8116910379694735,-1.081287689140818
51,Sb,Antimony,0.359,0.045,121.759726120621,1.6707903803410355e-07,1.6707903803410355e-05,0.16707903803410354,,,,excluded,-6.777078033871863,,,
52,Te,Tellurium,4.72,0.23,125.07744674398023,2.2565494800464177e-06,0.00022565494800464177,2.256549480046418,,,,excluded,-5.646555139132302,,,
53,I,Iodine,1.59,0.64,126.90447279999998,7.712548508532026e-07,7.712548508532025e-05,0.7712548508532026,,,,excluded,-6.112802091429168,,,
54,Xe,Xenon,0.000347,,130.78649062851787,1.7346673984247005e-10,1.7346673984247005e-08,0.00017346673984247005,,,,excluded,-9.760783783625804,,,
55,Cs,Caesium,0.368,0.043,132.90545196,1.8694526526757148e-07,1.869452652675715e-05,0.1869452652675715,,,,excluded,-6.728285529676417,,,
56,Ba,Barium,4.55,0.27,137.32691589859968,2.388311217185182e-06,0.00023883112171851822,2.388311217185182,,,,excluded,-5.621909081604823,,,
57,La,Lanthanum,0.459,0.024,138.90543802723383,2.437001457135749e-07,2.437001457135749e-05,0.2437001457135749,,,,excluded,-6.613144211141157,,,
58,Ce,Cerium,1.16,0.05,139.89704836744008,6.202837385801933e-07,6.202837385801933e-05,0.6202837385801934,,,,excluded,-6.207409604192863,,,
59,Pr,Praseodymium,0.175,0.012,140.9076525,9.42532823537532e-08,9.42532823537532e-06,0.0942532823537532,,,,excluded,-7.025703516630914,,,
60,Nd,Neodymium,0.865,0.022,143.90755983594482,4.7579905113890124e-07,4.757990511389012e-05,0.47579905113890125,,,,excluded,-6.322576428388602,,,
61,Pm,,,,,,,,,,,excluded,,,,
62,Sm,Samarium,0.271,0.012,150.36327566316402,1.5575246335751221e-07,1.557524633575122e-05,0.15575246335751222,,,,excluded,-6.8075650758783315,,,
63,Eu,Europium,0.1,0.005,151.96437047419,5.8085218890899126e-08,5.808521889089913e-06,0.058085218890899126,,,,excluded,-7.235934369689277,,,
64,Gd,Gadolinium,0.346,0.013,157.2520475977856,2.0796787916346088e-07,2.079678791634609e-05,0.20796787916346088,,,,excluded,-6.682003737053082,,,
65,Tb,Terbium,0.0625,0.0025,158.9253468,3.7966192039723495e-08,3.7966192039723494e-06,0.0379661920397235,,,,excluded,-7.420602959854367,,,
66,Dy,Dysprosium,0.407,0.016,162.4997626685505,2.527964641798379e-07,2.5279646417983787e-05,0.25279646417983787,,,,excluded,-6.597229004748531,,,
67,Ho,Holmium,0.0891,0.0035,164.9303221,5.6169695063711745e-08,5.616969506371175e-06,0.05616969506371174,,,,excluded,-7.25049793383272,,,
68,Er,Erbium,0.256,0.009,167.259076359963,1.6366413311718228e-07,1.6366413311718227e-05,0.16366413311718228,,,,excluded,-6.786046485499406,,,
69,Tm,Thulium,0.0403,0.0014,168.9342133,2.6022350061468197e-08,2.6022350061468196e-06,0.026022350061468198,,,,excluded,-7.584653485151809,,,
70,Yb,Ytterbium,0.252,0.009,173.0544615548788,1.6668909787999312e-07,1.666890978799931e-05,0.16668909787999311,,,,excluded,-6.778092803803618,,,
71,Lu,Lutetium,0.038,0.0018,174.94077119999997,2.540963861085983e-08,2.540963861085983e-06,0.02540963861085983,,,,excluded,-7.595001511668462,,,
72,Hf,Hafnium,0.155,0.011,178.48656576139666,1.0574530315182956e-07,1.0574530315182956e-05,0.10574530315182956,,,,excluded,-6.975738913414319,,,
73,Ta,Tantalum,0.0215,0.001,180.9478756362269,1.4870165554241459e-08,1.487016555424146e-06,0.01487016555424146,,,,excluded,-7.8276841963137365,,,
74,W,Tungsten,0.144,0.013,183.84169788737006,1.0118831625352325e-07,1.0118831625352324e-05,0.10118831625352324,,,,excluded,-6.994869630574856,,,
75,Re,Rhenium,0.0521,0.0042,184.9529549,3.6831792266469215e-08,3.6831792266469214e-06,0.03683179226646922,,,,excluded,-7.433777147490478,,,
76,Os,Osmium,0.655,0.04,190.24769452812745,4.7630436064820825e-07,4.7630436064820825e-05,0.47630436064820825,,,,excluded,-6.322115442429654,,,
77,Ir,Iridium,0.633,0.029,192.216617105144,4.6507018102774826e-07,4.650701810277483e-05,0.4650701810277483,,,,excluded,-6.332481505318115,,,
78,Pt,Platinum,1.24,0.1,195.08394510860884,9.246280616163409e-07,9.24628061616341e-05,0.9246280616163409,55101.63103156373,2026-09-23,Yahoo Finance,benchmark,-6.034032930257448,4.7411644543422415,2.97838236458699,1.7627820897552517
79,Au,Gold,0.195,0.016,196.96656867,1.468084270568695e-07,1.4680842705686948e-05,0.1468084270568695,137744.03681042857,2026-09-23,Yahoo Finance,benchmark,-6.833249014452272,5.139072806533748,3.5200693091180577,1.6190034974156902
80,Hg,Mercury,0.376,0.156,200.5923998779403,2.882877404301938e-07,2.882877404301938e-05,0.2882877404301938,,,,excluded,-6.540173825793284,,,
81,Tl,Thallium,0.179,0.015,204.383332426508,1.398370849077018e-07,1.3983708490770181e-05,0.1398370849077018,,,,excluded,-6.854377638068476,,,
82,Pb,Lead,3.33,0.2,207.3188697745607,2.6388027078538836e-06,0.00026388027078538834,2.6388027078538836,1.897628774789664,2026-09-23,Investing.com daily snapshot,benchmark,-5.578593078932423,0.2782112571803855,2.669697609161326,-2.3914863519809404
83,Bi,Bismuth,0.141,0.01,,,,,,,,excluded,,,,
90,Th,Thorium,0.0336,0.0017,,,,,,,,excluded,,,,
92,U,Uranium,0.00897,0.00064,,,,,,,,excluded,,,,
