Z,E,CI-Chondrites,CI-Chondrites,Sun Outer Convection Zone (mainly photoshere),Sun Outer Convection Zone (mainly photoshere)  StdDev,Solar System present,Solar System present  StdDev,Solar System Proto Solar,Solar System Proto Solar  StdDev,Solar System present,Solar System present StdDev,,Solar System Proto Solar,Solar System Proto Solar,
52.00,Te,4.72,0.23,…,,4.72,0.23,4.72,0.23,2.18,0.02,,2.27,0.02,
53.00,I,1.59,0.64,…,,1.59,0.64,1.59,0.64,1.71,0.15,,1.80,0.15,
54.00,Xe,0.00,,…,,5.50,1.11,5.50,1.11,2.25,0.08,,2.34,0.08,
55.00,Cs,0.37,0.04,…,,0.37,0.04,0.37,0.04,1.08,0.02,,1.16,0.02,
56.00,Ba,4.55,0.27,5.50,0.92,4.55,0.27,4.55,0.27,2.17,0.02,,2.26,0.02,
57.00,La,0.46,0.02,0.40,0.04,0.46,0.02,0.46,0.02,1.17,0.02,,1.26,0.02,
58.00,Ce,1.16,0.05,1.17,0.11,1.16,0.05,1.16,0.05,1.58,0.02,,1.66,0.02,
59.00,Pr,0.18,0.01,0.16,0.02,0.18,0.01,0.18,0.01,0.75,0.01,,0.84,0.01,
60.00,Nd,0.87,0.02,0.81,0.08,0.87,0.02,0.86,0.02,1.45,0.01,,1.53,0.01,
61.00,Pm,…,,…,,…,,…,,,…,,,…,
62.00,Sm,0.27,0.01,0.28,0.03,0.27,0.01,0.27,0.01,0.94,0.02,,1.03,0.02,
63.00,Eu,0.10,0.01,0.10,0.01,0.10,0.01,0.10,0.01,0.51,0.02,,0.60,0.02,
64.00,Gd,0.35,0.01,0.37,0.04,0.35,0.01,0.35,0.01,1.05,0.02,,1.14,0.02,
65.00,Tb,0.06,0.00,0.06,0.02,0.06,0.00,0.06,0.00,0.31,0.02,,0.39,0.02,
66.00,Dy,0.41,0.02,0.39,0.04,0.41,0.02,0.41,0.02,1.12,0.02,,1.21,0.02,
67.00,Ho,0.09,0.00,0.09,0.03,0.09,0.00,0.09,0.00,0.46,0.02,,0.55,0.02,
68.00,Er,0.26,0.01,0.26,0.03,0.26,0.01,0.26,0.01,0.92,0.02,,1.01,0.02,
69.00,Tm,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.11,0.02,,0.20,0.02,
70.00,Yb,0.25,0.01,0.22,0.06,0.25,0.01,0.25,0.01,0.91,0.02,,1.00,0.02,
71.00,Lu,0.04,0.00,0.04,0.01,0.04,0.00,0.04,0.00,0.09,0.02,,0.18,0.02,
72.00,Hf,0.16,0.01,0.22,0.03,0.16,0.01,0.16,0.01,0.70,0.03,,0.79,0.03,
73.00,Ta,0.02,0.00,…,,0.02,0.00,0.02,0.00,-0.16,0.02,,-0.07,0.02,
74.00,W,0.14,0.01,0.21,0.06,0.14,0.01,0.14,0.01,0.67,0.04,,0.76,0.04,
75.00,Re,0.05,0.00,…,,0.05,0.00,0.05,0.00,0.23,0.03,,0.34,0.03,
76.00,Os,0.66,0.04,0.78,0.10,0.66,0.04,0.65,0.04,1.33,0.03,,1.41,0.03,
77.00,Ir,0.63,0.03,0.81,0.14,0.63,0.03,0.63,0.03,1.31,0.02,,1.40,0.02,
78.00,Pt,1.24,0.10,…,,1.24,0.10,1.24,0.10,1.60,0.03,,1.69,0.03,
79.00,Au,0.20,0.02,0.25,0.05,0.20,0.02,0.20,0.02,0.80,0.03,,0.89,0.03,
80.00,Hg,0.38,0.16,…,,0.38,0.16,0.38,0.16,1.08,0.15,,1.17,0.15,
81.00,Tl,0.18,0.02,0.28,0.16,0.18,0.02,0.18,0.02,0.76,0.04,,0.85,0.04,
82.00,Pb,3.33,0.20,2.57,0.52,3.33,0.20,3.31,0.20,2.03,0.03,,2.12,0.03,
83.00,Bi,0.14,0.01,…,,0.14,0.01,0.14,0.01,0.66,0.03,,0.75,0.03,
90.00,Th,0.03,0.00,< 0.033,,0.03,0.00,0.04,0.00,0.04,0.02,,0.22,0.02,
92.00,U,0.01,0.00,…,,0.01,0.00,0.02,0.00,-0.54,0.03,,-0.02,0.03,
