date,price_usd_per_metric_tonne_ore
2026-09-21,97.61000061035156
2026-09-18,97.38999938964844
2026-09-17,96.55999755859375
2026-09-16,96.33000183105469
2026-09-15,95.94999694824219
2026-09-14,95.84999847412109
2026-09-11,96.83999633789062
2026-09-10,98.2699966430664
2026-09-09,99.41000366210938
2026-09-08,100.5199966430664
2026-09-04,99.36000061035156
2026-09-03,99.02999877929688
2026-09-02,97.16999816894531
2026-09-01,98.9000015258789
2026-08-31,99.25
2026-08-28,98.51000213623047
2026-08-27,97.80000305175781
2026-08-26,98.0
2026-08-25,97.12000274658203
2026-08-24,97.58999633789062
2026-08-21,95.72000122070312
2026-08-20,95.63999938964844
2026-08-19,95.97000122070312
2026-08-18,96.19000244140625
2026-08-17,95.33999633789062
2026-08-14,95.95999908447266
2026-08-13,95.69999694824219
2026-08-12,95.73999786376953
2026-08-11,95.84999847412109
2026-08-10,95.19999694824219
2026-08-07,95.08999633789062
2026-08-06,96.16999816894531
2026-08-05,94.61000061035156
2026-08-04,94.05000305175781
2026-08-03,94.0199966430664
2026-07-31,95.30999755859375
2026-07-30,95.70999908447266
2026-07-29,98.19000244140625
2026-07-28,98.08000183105469
2026-07-27,98.2300033569336
2026-07-24,98.41999816894531
2026-07-23,98.41999816894531
2026-07-22,97.66999816894531
2026-07-21,99.06999969482422
2026-07-20,99.86000061035156
2026-07-17,100.45999908447266
2026-07-16,100.4000015258789
2026-07-15,100.58000183105469
2026-07-14,100.16999816894531
2026-07-13,98.69000244140625
2026-07-10,99.37999725341797
2026-07-09,98.52999877929688
2026-07-08,98.94999694824219
2026-07-07,97.80000305175781
2026-07-06,98.08999633789062
2026-07-02,97.94999694824219
2026-07-01,98.1500015258789
2026-06-30,98.81999969482422
2026-06-29,98.69999694824219
2026-06-26,98.63999938964844
2026-06-25,97.5
2026-06-24,98.45999908447266
2026-06-23,97.66999816894531
2026-06-22,98.16999816894531
